name,glyco-engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti -D,2FF (-F),2FG (-G),GNT3 (+B),B4GALT1/D-galactose (+G),ST6GALT (+S),in vitro sialylation (+ivs),G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G2FS2,G1FNS,G2FNS,G2FNS2,G0,G1,G2,G0N,G1N,G2N,G1S,G2S,G2S2,G1NS,G2NS,G2NS2
-G,-,+,-,-,-,-,72.7,12.7,1.2,1.6,0.4,0.0,0.2,0.4,0.1,0.0,0.0,0.0,0.9,0.8,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Unmodified,-,-,-,-,-,-,37.5,37.7,9.8,1.8,2.6,0.4,0.7,1.5,0.7,0.1,0.1,0.0,0.1,0.8,0.7,0.2,0.3,0.1,0.6,0.3,0.2,0.1,0.0,0.1
+G,-,-,-,+,-,-,2.3,7.6,54.6,0.1,1.0,0.9,0.1,11.7,4.0,0.2,0.1,0.0,0.0,0.1,0.4,0.0,0.0,0.5,0.4,0.8,0.2,0.0,0.1,0.0
+G+S,-,-,-,+,+,-,4.2,10.0,14.2,0.1,0.5,0.3,3.2,35.0,19.9,0.5,0.3,0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.5,0.3,0.0,0.3,0.2
+G+S+ivs,-,-,-,+,+,+,3.8,2.9,0.2,0.2,0.1,0.1,10.4,14.2,51.8,0.7,0.2,0.6,0.3,0.4,0.1,0.1,0.0,0.0,0.5,0.8,1.4,0.2,0.1,0.3
-G+B,-,+,+,-,-,-,11.5,8.8,9.3,46.2,5.7,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.8,2.8,1.2,1.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0
+B,-,-,+,-,-,-,4.8,8.5,11.3,26.1,33.0,3.1,0.2,0.5,0.0,1.1,0.6,0.1,0.1,0.3,2.0,0.2,0.4,0.4,0.1,0.1,0.0,0.2,0.1,0.0
+B+G,-,-,+,+,-,-,1.0,2.9,13.0,1.4,16.5,26.4,0.2,3.2,0.8,0.4,4.1,1.9,0.0,0.1,0.4,0.0,0.1,0.6,0.1,0.3,0.1,0.3,0.4,0.1
+B+G+S,-,-,+,+,+,-,2.4,5.1,5.4,2.6,10.9,5.6,1.7,12.1,7.1,12.4,6.9,9.9,0.2,0.2,0.6,0.0,0.1,0.3,0.1,0.3,0.2,0.2,0.5,0.2
+B+G+S+ivs,-,-,+,+,+,+,2.3,1.8,1.2,2.4,0.7,0.2,5.0,5.4,17.8,21.7,0.6,20.3,0.3,0.3,0.7,0.2,0.1,0.0,0.3,0.4,0.7,0.9,0.7,0.7
-F-G,+,+,-,-,-,-,20.4,4.9,1.2,0.6,0.3,0.1,0.1,0.7,0.2,0.1,0.0,0.0,52.7,6.1,0.4,0.8,0.2,0.0,0.1,0.1,0.1,0.0,0.1,0.0
-F,+,-,-,-,-,-,11.4,13.3,3.9,0.5,0.8,0.1,0.3,0.6,0.5,0.1,0.0,0.1,30.6,23.5,5.1,1.0,1.2,0.2,0.5,0.7,0.4,0.1,0.1,0.1
-F+G,+,-,-,+,-,-,0.6,2.2,15.7,0.5,0.2,0.2,0.1,3.3,1.5,0.0,0.0,0.0,2.4,7.4,42.7,0.1,0.6,0.6,0.2,6.4,2.3,0.1,0.0,0.0
-F+G+S,+,-,-,+,+,-,1.5,3.0,3.0,0.1,0.1,0.1,1.3,8.9,5.3,0.1,0.1,0.0,5.6,11.9,6.8,0.1,0.3,0.2,6.0,24.2,10.8,0.2,0.2,0.1
-F+G+S+ivs,+,-,-,+,+,+,1.5,1.0,0.4,0.1,0.1,0.1,3.3,2.8,12.6,0.2,0.2,0.0,5.2,4.3,0.2,0.1,0.2,0.2,14.0,11.4,31.5,0.3,0.3,0.2
-F-G+B,+,+,+,-,-,-,4.3,3.0,2.3,16.1,2.6,0.1,0.0,0.0,0.1,0.0,0.0,0.0,9.6,5.8,7.9,34.9,2.9,0.1,0.0,0.0,0.0,0.1,0.0,0.1
-F+B,+,-,+,-,-,-,1.8,3.0,2.5,8.8,11.5,1.1,0.1,0.2,0.1,0.5,0.3,0.1,4.3,5.6,8.4,24.4,18.9,1.4,0.1,0.2,0.0,0.7,0.3,0.1
-F+B+G,+,-,+,+,-,-,0.4,1.2,5.0,0.7,5.6,9.1,0.3,1.1,0.4,0.2,1.7,0.8,1.0,2.5,10.5,1.3,14.8,16.4,0.2,1.8,0.5,0.3,2.5,0.9
-F+B+G+S,+,-,+,+,+,-,0.7,1.6,1.9,1.0,3.8,2.4,0.5,4.4,2.5,3.5,2.5,3.8,2.1,4.1,3.6,2.2,9.0,3.5,1.8,9.7,4.5,8.6,4.1,4.9
-F+B+G+S+ivs,+,-,+,+,+,+,0.8,0.7,0.4,0.9,0.3,0.5,1.5,1.8,6.0,7.2,0.3,7.5,2.0,1.7,1.0,2.0,0.7,0.1,4.3,5.2,12.2,17.1,0.7,11.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti-TNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-G,-,+,-,-,-,-,63.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unmodified,-,-,-,-,-,-,59.6,22.5,3.0,1.8,0.9,0.1,0.6,0.5,0.3,0.1,0.1,0.1,0.6,1.4,0.5,0.1,0.1,0.0,0.3,0.1,0.0,0.1,0.0,0.1
+G,-,-,-,+,-,-,3.5,8.6,54.4,0.1,0.6,0.5,0.1,11.8,3.1,0.1,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.2,1.2,0.5,0.1,0.0,0.0,0.0
+G+S,-,-,-,+,+,-,4.9,9.7,11.5,0.1,0.3,0.2,3.8,31.1,20.4,0.3,0.2,0.1,0.0,0.2,0.2,0.0,0.1,0.1,0.2,0.5,0.3,0.1,0.2,0.2
+G+S+ivs,-,-,-,+,+,+,4.1,2.5,0.2,0.2,0.2,0.2,10.3,11.4,51.5,0.4,0.2,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.2,0.4,0.5,0.3,0.1,0.4
-G+B,-,+,+,-,-,-,8.8,11.0,12.8,38.5,5.3,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.4,1.0,4.7,0.6,0.9,0.2,0.1,1.0,0.0,0.0,0.0,0.0
+B,-,-,+,-,-,-,10.5,12.3,12.8,32.4,16.9,1.1,0.1,0.2,0.0,0.6,0.2,0.1,0.1,0.6,3.2,0.2,0.7,0.3,0.2,0.1,0.0,0.1,0.0,0.0
+B+G,-,-,+,+,-,-,0.7,2.0,10.6,0.9,16.2,33.0,0.1,2.4,0.5,0.3,4.2,1.5,0.0,0.1,0.3,0.1,0.2,0.3,0.0,0.1,0.0,0.1,0.2,0.1
+B+G+S,-,-,+,+,+,-,2.0,4.4,5.1,2.3,10.1,5.3,1.6,10.9,6.4,12.2,6.5,9.7,0.4,0.5,0.9,0.0,0.1,0.3,0.2,1.5,0.6,0.2,0.5,0.2
+B+G+S+ivs,-,-,+,+,+,+,2.1,1.6,1.3,2.3,0.5,0.1,4.9,4.6,17.9,21.0,0.5,19.2,0.5,0.4,0.6,0.1,0.1,0.0,0.6,0.9,1.9,0.2,0.7,0.3
-F-G,+,+,-,-,-,-,20.7,7.0,0.8,0.4,0.2,0.0,0.1,0.1,0.1,0.0,0.0,0.0,44.8,10.2,0.8,0.6,0.3,0.0,0.2,0.1,0.1,0.0,0.0,0.1
-F,+,-,-,-,-,-,15.3,7.7,1.2,0.4,0.3,0.1,0.2,0.2,0.3,0.1,0.1,0.1,46.1,14.6,1.6,1.0,0.5,0.1,0.4,0.3,0.2,0.1,0.1,0.1
-F+G,+,-,-,+,-,-,1.8,4.3,21.0,0.3,0.3,0.3,0.1,4.8,2.5,0.1,0.1,0.1,3.5,6.8,29.5,0.1,0.4,0.3,0.2,4.7,1.9,0.1,0.0,0.0
-F+G+S,+,-,-,+,+,-,1.1,2.6,3.8,0.1,0.2,0.2,1.0,9.4,5.0,0.2,0.2,0.1,4.1,8.9,8.9,0.1,0.3,0.2,3.8,26.7,11.5,0.3,0.2,0.1
-F+G+S+ivs,+,-,-,+,+,+,1.3,0.9,0.3,0.1,0.1,0.1,3.1,3.9,16.7,0.5,0.2,0.4,3.9,3.2,0.1,0.1,0.1,0.1,9.5,12.5,32.1,0.3,0.1,0.2
-F-G+B,+,+,+,-,-,-,3.5,3.9,3.2,16.1,2.6,0.1,0.0,0.0,0.0,0.1,0.0,0.0,7.3,6.9,10.9,27.9,2.8,0.1,0.0,0.0,0.0,0.1,0.0,0.1
-F+B,+,-,+,-,-,-,3.2,4.5,2.7,9.3,10.2,0.9,0.1,0.1,0.1,0.3,0.2,0.0,9.0,8.5,7.7,20.7,13.7,1.1,0.2,0.2,0.1,0.4,0.2,0.1
-F+B+G,+,-,+,+,-,-,0.4,1.0,4.2,0.8,5.5,9.1,0.2,0.9,0.4,0.2,1.8,0.9,1.0,2.1,9.2,1.5,13.4,15.8,0.1,1.5,0.5,0.3,2.8,1.0
-F+B+G+S,+,-,+,+,+,-,0.6,1.5,1.8,0.9,3.5,2.3,0.5,4.0,2.4,3.3,2.3,3.5,2.2,4.3,3.9,2.4,9.1,3.6,1.9,9.2,4.4,9.0,4.0,5.0
-F+B+G+S+ivs,+,-,+,+,+,+,0.7,0.6,0.4,0.9,0.3,0.5,1.6,1.7,6.2,7.0,0.2,7.5,2.2,1.8,1.1,2.2,0.8,0.1,4.6,4.9,11.6,16.8,0.6,11.0
