index,mixture,binding
1,'-G,1.03E+00
1,'-G,1.92E+00
1,'-G,3.02E-01
1,'-G,8.09E-01
2,Unmodfied,1.64E+00
2,Unmodfied,2.42E+00
2,Unmodfied,6.59E-01
2,Unmodfied,6.86E-01
3,'+G,1.25E+00
3,'+G,2.71E+00
3,'+G,4.56E-01
3,'+G,6.14E-01
4,'+G+S,1.23E+00
4,'+G+S,2.43E+00
4,'+G+S,7.51E-01
4,'+G+S,7.12E-01
5,'+G+S+ivs,1.73E+00
5,'+G+S+ivs,5.52E-01
5,'+G+S+ivs,3.47E-01
5,'+G+S+ivs,1.77E+00
6,'+B-G,1.92E+00
6,'+B-G,6.66E-01
6,'+B-G,4.95E-01
7,'+B,9.38E-01
7,'+B,1.45E+00
7,'+B,5.75E-01
7,'+B,3.43E-01
7,'+B,6.14E-01
8,'+B+G,1.99E+00
8,'+B+G,5.77E-01
8,'+B+G,6.03E-01
8,'+B+G,1.19E+00
9,'+B+G+S,2.50E+00
9,'+B+G+S,6.00E-01
9,'+B+G+S,7.30E-01
9,'+B+G+S,9.07E-01
10,'+B+G+S+ivs,1.95E+00
10,'+B+G+S+ivs,3.96E-01
10,'+B+G+S+ivs,5.92E-01
10,'+B+G+S+ivs,5.01E-01
11,'-F-G,1.39E+00
11,'-F-G,5.62E-01
11,'-F-G,2.92E-01
11,'-F-G,7.66E-01
12,'-F,1.45E+00
12,'-F,1.97E+00
12,'-F,6.01E-01
12,'-F,1.36E+00
13,'-F+G,2.48E+00
13,'-F+G,7.50E-01
13,'-F+G,3.73E-01
13,'-F+G,8.00E-01
14,'-F+G+S,2.48E+00
14,'-F+G+S,6.60E-01
14,'-F+G+S,8.87E-01
14,'-F+G+S,7.69E-01
15,'-F+G+S+ivs,2.05E+00
15,'-F+G+S+ivs,4.40E-01
15,'-F+G+S+ivs,5.90E-01
15,'-F+G+S+ivs,6.27E-01
16,'-F+B-G,1.74E+00
16,'-F+B-G,6.23E-01
16,'-F+B-G,5.27E-01
16,'-F+B-G,5.71E-01
17,'-F+B,1.44E+00
17,'-F+B,5.64E-01
17,'-F+B,2.95E-01
17,'-F+B,7.70E-01
18,'-F+B+G,2.24E+00
18,'-F+B+G,4.32E-01
18,'-F+B+G,5.18E-01
18,'-F+B+G,3.62E-01
19,'-F+B+G+S,2.44E+00
19,'-F+B+G+S,4.23E-01
19,'-F+B+G+S,7.24E-01
19,'-F+B+G+S,5.35E-01
20,'-F+B+G+S+ivs,2.06E+00
20,'-F+B+G+S+ivs,3.98E-01
20,'-F+B+G+S+ivs,6.50E-01
20,'-F+B+G+S+ivs,7.27E-01