Unmodfied,'-F,'-F+B,'-F+B-G,'-F+B+G,'-F+B+G+S,'-F+B+G+S+ivs,'-F-G,'-F+G,'-F+G+S,'-F+G+S+ivs,'+B-G,'+B,'+B+G,'+B+G+S,'+B+G+S+ivs,'-G,'+G,'+G+S,'+G+S+ivs
,,,,,,,1.16911,,1.813924,,0.935725,,,0.795774,,,,,1.454908
0.778227,,,,,,0.781089,,1.134419,,0.799392,3.720475,1.49328,2.360817,0.911444,0.71377,1.050856,0.70926,,1.458885
0.475816,,,,,2.003705,,1.696781,1.119679,0.918251,,1.480655,1.657624,1.178223,1.104794,0.856786,1.140944,1.015777,,
,,,,,,1.052545,1.930931,0.966978,,0.877676,,,,,,,,,1.195649
1.045089,,,,,1.489742,1.484431,,1.074817,1.229175,1.127974,1.648626,2.037268,2.10242,0.693058,0.77437,1.501271,1.810857,,1.618158
,,,,,1.155179,1.292289,1.630556,,1.118229,1.510402,1.52284,2.131757,1.812337,1.226408,1.102282,2.015509,1.179707,,1.303683
0.907829,,,,,1.594543,,2.146265,1.168628,1.538747,,3.086531,1.909717,,2.041175,1.452781,2.261402,1.458505,,2.104318
,,,,,,,,1.124991,,,3.199806,,2.863995,3.401854,1.536424,2.346356,,,
0.816058,,,,,,,,,0.686324,,,,,,,,,,
1.75264,,,,,,1.075562,,,,1.279585,,,,0.990919,,,1.507409,,
1.679735,,,,,1.168264,,0.818844,,,,0.937703,1.136188,,,,0.873388,1.587571,,1.046689
2.190093,,,,,1.693166,,,0.774699,0.693844,,,,,,1.200011,,,,
1.414257,1.39584,1.766479,,,1.531731,,,,,,,,,0.990469,,,,,
,1.652195,1.719531,,,2.043446,,,,,,,,,,,,,,
,1.655434,1.502762,1.157661,1.463221,,,,,,,,,,,,,,1.142711,
,1.077407,,1.195524,1.421278,,,,,,,,,,,,,,1.216371,
,,,1.077407,1.277496,,,,,,,,,,,,,,1.073279,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0.874058,,,,,,,,,,,,,,,,,,,
1.037529,,,,,,,,,,,,,,,,,,,
1.149088,,,,,,,,,,,,,,,,,,,
0.978639,,,,,,,,,,,,,,,,,,,